风雪之巅	1100000000000009507	15000
风雪之巅	1100000000000009785	450000
风雪之巅	1100000000000010046	225000
风雪之巅	1100000000000010346	75000
风雪之巅	1100000000000010782	3750000
风雪之巅	1100000000000010811	1200000
风雪之巅	1100000000000010886	165000
风雪之巅	1100000000000029607	450000
风雪之巅	1100000000000029902	450000
风雪之巅	1100000000000110534	150000
风雪之巅	1100000000000130575	150000
风雪之巅	1100000000000805951	300000
风雪之巅	1100000000001789470	525000
风雪之巅	1100000000001912410	30000
风雪之巅	1100000000002158048	495000
风雪之巅	1100000000003407100	150000
风雪之巅	1100000000003652787	150000
风雪之巅	1100000000003898449	300000
风雪之巅	1100000000005476118	750000
风雪之巅	1100000000005844828	30000
风雪之巅	1100000000006007926	150000
风雪之巅	1100000000006254067	135000
风雪之巅	1100000000006848118	1500000
风雪之巅	1100000000007258447	45000
风雪之巅	1100000000007670050	15000
风雪之巅	1100000000008468723	105000
风雪之巅	1100000000009531328	15000
风雪之巅	1100000000009837920	15000
风雪之巅	1100000000010432473	75000
风雪之巅	1100000000010780651	195000
风雪之巅	1100000000011087028	75000
风雪之巅	1100000000011414567	60000
风雪之巅	1100000000011496633	15000
风雪之巅	1100000000011619687	75000
风雪之巅	1100000000011620285	15000
风雪之巅	1100000000011701589	45000
风雪之巅	1100000000011721847	15000
桃源仙境	1101000000000005149	105000
桃源仙境	1101000000000005154	210000
桃源仙境	1101000000000005553	750000
桃源仙境	1101000000000005873	150000
桃源仙境	1101000000000006507	300000
桃源仙境	1101000000000006529	150000
桃源仙境	1101000000000006666	150000
桃源仙境	1101000000000007024	75000
桃源仙境	1101000000000007313	300000
桃源仙境	1101000000000007558	150000
桃源仙境	1101000000000010045	30000
桃源仙境	1101000000000010634	75000
桃源仙境	1101000000000015072	15000
桃源仙境	1101000000000023642	150000
桃源仙境	1101000000000024148	150000
桃源仙境	1101000000000167567	150000
桃源仙境	1101000000000311236	150000
桃源仙境	1101000000000681458	45000
桃源仙境	1101000000001047557	300000
桃源仙境	1101000000001070641	150000
桃源仙境	1101000000001150949	450000
桃源仙境	1101000000001170947	7500
